customerid,exited,surname,creditscore,geography,gender,age,tenure,balance,hascrcard,isactivemember,estimatedsalary,bank_products
15634602,1,Hargrave,619,France,Female,42.0,2,0.0,1,1,101348.88,RetirementAccount
15647311,0,Dr. Hill,608,Spain,Female,41.0,1,83807.86,0,1,112542.58,CheckingAccount
15619304,1,Onio,502,France,Female,42.0,8,159660.8,1,0,113931.57,"CreditCard,RetirementAccount,AutoLoan"
15701354,0,Boni,699,France,Female,39.0,1,0.0,0,0,93826.63,"SavingsAccount,MortgageLoan"
15737888,0,Mitchell,850,Spain,Female,43.0,2,125510.82,1,1,79084.1,InvestmentFund
15574012,1,Chu,645,Spain,,44.0,8,113755.78,1,0,149756.71,"PersonalLoan,AutoLoan"
15592531,0,Bartlett,822,France,Male,50.0,7,0.0,1,1,10062.8,"RetirementAccount,CertificateOfDeposit"
15656148,1,Obinna,376,Germany,Female,29.0,4,115046.74,1,0,119346.88,"CreditCard,CertificateOfDeposit,RetirementAccount,HomeEquityLoan"
15792365,0,He,501,France,Male,44.0,4,142051.07,0,1,74940.5,"InvestmentFund,CheckingAccount"
15592389,0,H?,684,France,Male,27.0,2,134603.88,1,1,71725.73,HomeEquityLoan
15767821,0,Bearce,528,France,Male,31.0,6,102016.72,0,0,80181.12,"PersonalLoan,HomeEquityLoan"
15737173,0,Dr. Andrews,497,Spain,Male,24.0,3,0.0,1,0,76390.01,"SavingsAccount,AutoLoan"
15632264,0,Kay,476,France,Female,34.0,10,0.0,1,0,26260.98,"HomeEquityLoan,InvestmentFund"
15691483,0,Chin,549,France,Female,25.0,5,0.0,0,0,190857.79,"CreditCard,SavingsAccount"
15600882,0,Scott,635,Spain,Female,35.0,7,0.0,1,1,65951.65,"CreditCard,InvestmentFund"
15643966,0,Goforth,616,Germany,Male,45.0,3,143129.41,0,1,64327.26,"CreditCard,CheckingAccount"
15737452,1,Romeo,653,Germany,Male,58.0,1,132602.88,1,0,5097.67,MortgageLoan
15788218,0,Henderson,549,Spain,,24.0,9,0.0,1,1,14406.41,"InvestmentFund,AutoLoan"
15661507,0,Muldrow,587,Spain,Male,45.0,6,0.0,0,0,158684.81,PersonalLoan
15568982,0,Hao,726,France,Female,24.0,6,0.0,1,1,54724.03,"PersonalLoan,CreditCard"
15577657,0,McDonald,732,France,Male,41.0,8,0.0,1,1,170886.17,"CertificateOfDeposit,AutoLoan"
15597945,0,Dellucci,636,Spain,Female,32.0,8,0.0,1,0,138555.46,"CreditCard,AutoLoan"
15699309,1,Gerasimov,510,Spain,Female,,4,0.0,1,0,118913.53,MortgageLoan
15725737,0,Mosman,669,France,Male,46.0,3,0.0,0,1,8487.75,"AutoLoan,SavingsAccount"
15625047,0,Yen,846,France,Female,38.0,5,0.0,1,1,187616.16,RetirementAccount
15738191,0,Maclean,577,France,Male,25.0,3,0.0,0,1,124508.29,"SavingsAccount,MortgageLoan"
15736816,0,Young,756,Germany,Male,36.0,2,136815.64,1,1,170041.95,CreditCard
15700772,0,Nebechi,571,France,Male,44.0,9,0.0,0,0,38433.35,"CreditCard,CheckingAccount"
15728693,0,McWilliams,574,Germany,,43.0,3,141349.43,1,1,100187.43,AutoLoan
15656300,0,Lucciano,411,France,Male,29.0,0,59697.17,1,1,53483.21,"SavingsAccount,AutoLoan"
15589475,1,Azikiwe,591,Spain,Female,39.0,3,0.0,1,0,140469.38,"CreditCard,InvestmentFund,AutoLoan"
15706552,0,Odinakachukwu,533,France,Male,36.0,7,85311.7,0,1,156731.91,CheckingAccount
15750181,0,Sanderson,553,Germany,Male,41.0,9,110112.54,0,0,81898.81,"RetirementAccount,MortgageLoan"
15659428,0,Dr. Maggard,520,Spain,Female,42.0,6,0.0,1,1,34410.55,"SavingsAccount,CheckingAccount"
15732963,0,Dr. Clements,722,Spain,Female,29.0,9,0.0,1,1,142033.07,"InvestmentFund,CreditCard"
